,amount,pm
농심_찰비빔면,8,0
요리하다_국물라볶이,3,0
요리하다_투움바라면,5,1
풀무원_로스팅짜장면파기름,1,0
풀무원_홍비빔면,2,0
풀무원_정비빔면,2,0
팔도_틈새라면볶음면,2,0
오뚜기_라면사리,4,0
오뚜기_진비빔면,3,0
농심_배홍동비빔면,14,0
농심_둥지냉면비빔냉면,6,0
풀무원_직화짜장,2,0
풀무원_로스팅짜장면트러플오일,4,0
삼양_불닭볶음면,4,0
팔도_틈새라면매운짜장,4,0
팔도_팔도짜장면,4,0
삼양_까르보불닭볶음면,4,0
풀무원_백비빔면,3,0
오뚜기_짜슐랭,2,0
오뚜기_진진짜라,2,0
농심_볶음너구리,4,0
오뚜기_짜장면,2,0
온리프라이스_불맛짜장라면,6,0
농심_둥지냉면동치미물냉면,4,0
오뚜기_진라면매운맛,1,0
농심_샐러드누들,6,0
삼양_4가지치즈불닭볶음면,5,0
농심_사리면,4,0
삼양_짜짜로니,4,0
팔도_일품삼선짜장,2,0
삼양_사리면,4,0
농심_짜왕,1,0
농심_시원한메밀소바,2,0
삼양_로제불닭볶음면,2,-1
오뚜기_크림진짬뽕,2,0
농심_짜파게티,2,0
오뚜기_진짜장,2,0
팔도_틈새라면매운카레,1,1
팔도_꼬간초비빔면,1,0
오뚜기_옛날잡채,1,0
팔도_팔도비빔면,1,0
농심_사천짜파게티,4,0
오뚜기_스파게티,2,-1
